0.0232319900, ktest0.txt, PID 0, 64173, n = 1, 28.9339367890, 
0.0229844570, ktest0.txt, PID 0, 64173, n = 1, 29.0006830860, 
0.0231071060, ktest0.txt, PID 0, 64173, n = 1, 28.9807650790, 
0.0229923050, ktest0.txt, PID 0, 64173, n = 1, 29.0546147780, 
0.0271508410, ktest0.txt, PID 0, 117009, n = 2, 79.5516903240, 
0.0272656210, ktest0.txt, PID 0, 144163, n = 2, 102.9315103340, 
0.0274165020, ktest0.txt, PID 1, 194995, n = 2, 133.1945433220, 
0.0272552920, ktest0.txt, PID 1, 66439, n = 2, 33.3564711100, 
0.0275912940, ktest0.txt, PID 1, 23877, n = 4, 7.6452790460, 
0.0277981230, ktest0.txt, PID 0, 8024, n = 4, 1.7307121130, 
0.0275035910, ktest0.txt, PID 1, 20658, n = 4, 6.2814364090, 
0.0286818980, ktest0.txt, PID 2, 76259, n = 4, 42.5816782180, 
0.0339069270, ktest0.txt, PID 0, 12071, n = 8, 5.0933892970, 
0.0339079390, ktest0.txt, PID 4, 5357, n = 8, 1.7232547920, 
0.0338110170, ktest0.txt, PID 5, 10012, n = 8, 3.4064963630, 
0.0342610610, ktest0.txt, PID 3, 2637, n = 8, 0.5657662920, 
0.0357850960, ktest0.txt, PID 8, 11736, n = 16, 3.4260352050, 
0.0360894970, ktest0.txt, PID 5, 2079, n = 16, 0.5613035680, 
0.0355621690, ktest0.txt, PID 0, 3664, n = 16, 0.7505161570, 
0.0354932300, ktest0.txt, PID 1, 4187, n = 16, 1.6611108920, 
0.0230823230, ktest1.txt, PID 0, 28763, n = 1, 8.2220285920, 
0.0226626970, ktest1.txt, PID 0, 28763, n = 1, 8.2747886810, 
0.0225573780, ktest1.txt, PID 0, 28763, n = 1, 8.2818796380, 
0.0226938430, ktest1.txt, PID 0, 28763, n = 1, 8.3796234970, 
0.0264696180, ktest1.txt, PID 1, 28164, n = 2, 10.8244754130, 
0.0265860160, ktest1.txt, PID 1, 28079, n = 2, 11.3808161790, 
0.0270125850, ktest1.txt, PID 1, 46894, n = 2, 19.5557484320, 
0.0273036090, ktest1.txt, PID 1, 13036, n = 2, 2.8146447740, 
0.0270056800, ktest1.txt, PID 0, 59412, n = 4, 22.9768949390, 
0.0272558390, ktest1.txt, PID 1, 36882, n = 4, 11.6778407510, 
0.0269965740, ktest1.txt, PID 1, 14978, n = 4, 4.5351368060, 
0.0267396820, ktest1.txt, PID 1, 27840, n = 4, 11.2331103730, 
0.0332753960, ktest1.txt, PID 5, 10252, n = 8, 4.0797227780, 
0.0329844080, ktest1.txt, PID 0, 5811, n = 8, 1.5112952980, 
0.0332053120, ktest1.txt, PID 5, 8039, n = 8, 3.0335981400, 
0.0333534890, ktest1.txt, PID 5, 5736, n = 8, 1.8451755820, 
0.0430095310, ktest1.txt, PID 1, 4972, n = 16, 1.6476605970, 
0.0348981030, ktest1.txt, PID 1, 3503, n = 16, 1.0885721220, 
0.0351097500, ktest1.txt, PID 9, 3469, n = 16, 1.0829540660, 
0.0231393930, ktest2.txt, PID 0, 34545, n = 1, 12.7316405870, 
0.0224568840, ktest2.txt, PID 0, 34545, n = 1, 12.6896393050, 
0.0223218510, ktest2.txt, PID 0, 34545, n = 1, 12.7047244800, 
0.0223357620, ktest2.txt, PID 0, 34545, n = 1, 12.6785398960, 
0.0265934780, ktest2.txt, PID 0, 33606, n = 2, 14.4676353630, 
0.0266547130, ktest2.txt, PID 0, 27833, n = 2, 11.1438197610, 
0.0265993800, ktest2.txt, PID 0, 24469, n = 2, 8.4005684710, 
0.0263745380, ktest2.txt, PID 0, 14254, n = 2, 3.8861553130, 
0.0269772770, ktest2.txt, PID 1, 5416, n = 4, 1.4887417220, 
0.0268343200, ktest2.txt, PID 1, 8752, n = 4, 2.8013341880, 
0.0268124490, ktest2.txt, PID 2, 3498, n = 4, 0.6377108560, 
0.0267080930, ktest2.txt, PID 1, 3618, n = 4, 0.6154833170, 
0.0333498850, ktest2.txt, PID 0, 3611, n = 8, 0.9343964980, 
0.0331098410, ktest2.txt, PID 1, 12331, n = 8, 3.2394205680, 
0.0332911100, ktest2.txt, PID 2, 3447, n = 8, 0.9833969720, 
0.0329009600, ktest2.txt, PID 2, 3231, n = 8, 0.8742481350, 
0.0348318670, ktest2.txt, PID 1, 2199, n = 16, 0.5188325730, 
0.0346169440, ktest2.txt, PID 8, 3112, n = 16, 0.9757603970, 
0.0345444480, ktest2.txt, PID 9, 1971, n = 16, 0.5006203480, 
0.0345962460, ktest2.txt, PID 8, 3437, n = 16, 1.2059420020, 
0.0234204820, ktest3.txt, PID 0, 11460, n = 1, 2.0339847650, 
0.0229425060, ktest3.txt, PID 0, 11460, n = 1, 2.0242753770, 
0.0232105880, ktest3.txt, PID 0, 11460, n = 1, 2.0140698010, 
0.0229500900, ktest3.txt, PID 0, 11460, n = 1, 2.0336960850, 
0.0271690930, ktest3.txt, PID 1, 9544, n = 2, 2.2474406900, 
0.0272197080, ktest3.txt, PID 1, 11642, n = 2, 2.8022405870, 
0.0273878930, ktest3.txt, PID 1, 10050, n = 2, 2.3099000170, 
0.0271260120, ktest3.txt, PID 1, 6574, n = 2, 1.1904246150, 
0.0273621450, ktest3.txt, PID 0, 5523, n = 4, 1.9635746940, 
